epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.349,1.33665,1.05594,1.01165,0.94742,0.96294,0.97098,0.72584,0.92195,45.6081,0.88101,0.000555155,0.000555155,0.000555155
2,648.652,0.87211,0.56352,0.86521,0.95779,0.96923,0.98698,0.80789,0.71833,35.1621,0.83571,0.00100085,0.00100085,0.00100085
3,950.924,0.7434,0.48649,0.83925,0.96491,0.96981,0.98994,0.84417,0.62246,26.1091,0.81739,0.00133652,0.00133652,0.00133652
4,1252.13,0.66674,0.43775,0.82434,0.96729,0.9632,0.99177,0.87569,0.54487,16.1158,0.80568,0.0011719,0.0011719,0.0011719
5,1552.59,0.61403,0.40115,0.81514,0.98183,0.97481,0.99163,0.88948,0.50076,2.74224,0.79678,0.00100687,0.00100687,0.00100687
6,1853.08,0.57107,0.37973,0.80917,0.97038,0.97436,0.9931,0.89088,0.50174,0.77193,0.79841,0.000841835,0.000841835,0.000841835
7,2156,0.53683,0.35234,0.8038,0.9858,0.97653,0.99318,0.90961,0.44665,0.39519,0.78865,0.000676802,0.000676802,0.000676802
8,2460.71,0.49865,0.33154,0.79882,0.99093,0.98906,0.994,0.92042,0.42074,0.49037,0.7859,0.000511769,0.000511769,0.000511769
9,2758.37,0.4663,0.31375,0.79429,0.99116,0.98948,0.99426,0.92877,0.39862,0.31655,0.78249,0.000346736,0.000346736,0.000346736
10,3057.25,0.43384,0.29134,0.79019,0.99256,0.99066,0.99414,0.93494,0.38323,0.3674,0.78069,0.000181703,0.000181703,0.000181703
